lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-004_T1w	2.563	2.722	2.526	2.042	3.547	2.768	2.462	2.762	2.323	2.212	2.758	2.222	2.386	2.839	2.945	2.441	2.625	2.588	2.415	1.786	2.105	2.573	2.564	2.37	2.674	2.206	2.726	2.174	2.934	2.567	2.699	3.777	2.236	2.931	2.49924	1263521	1563487.299
sub-005_T1w	2.37	2.531	2.49	1.832	2.831	2.548	2.43	2.589	2.294	2.231	2.453	2.043	2.526	2.532	2.928	2.379	2.401	2.52	2.268	1.678	2.13	2.653	2.587	2.435	3.065	2.165	2.679	2.277	2.695	2.517	2.576	2.931	2.537	2.846	2.43544	1342225	1777285.984
sub-006_T1w	2.263	2.806	2.544	2.034	2.602	2.605	2.445	2.857	2.36	2.234	2.471	2.128	2.373	2.715	2.67	2.752	2.41	2.241	2.085	1.778	2.022	2.289	2.535	2.467	2.641	2.274	2.76	2.292	2.737	2.51	2.951	3.36	2.587	2.9	2.46392	1173591	1581288.081
sub-007_T1w	2.211	2.583	2.551	2.096	3.067	2.74	2.459	2.781	2.377	2.238	2.789	2.141	2.716	2.701	2.632	2.42	2.551	2.723	2.39	1.694	2.114	2.34	2.649	2.346	2.72	2.384	2.758	2.238	2.739	2.45	2.633	3.301	2.43	3.123	2.49563	1258470	1648965.311
sub-008_T1w	2.515	2.653	2.432	2.121	3.019	2.931	2.39	2.801	2.413	2.176	2.597	2.117	2.345	2.935	3.328	2.604	2.43	2.632	2.504	1.763	2.079	2.524	2.614	2.384	2.811	2.34	2.694	2.249	2.877	2.518	2.531	3.788	2.409	3.285	2.51789	1301274	1584414.274
sub-009_T1w	2.771	2.734	2.639	2.197	3.242	2.843	2.556	2.838	2.518	2.413	2.887	2.152	2.676	2.942	2.751	2.625	2.499	2.743	2.459	1.681	2.272	2.731	2.77	2.526	3.006	2.484	2.928	2.327	3.143	2.817	3.213	3.693	2.95	3.359	2.66848	1164370	1221317.785
sub-010_T1w	2.497	2.731	2.61	1.982	3.442	2.792	2.358	2.792	2.415	2.14	2.664	2.202	2.403	2.809	3.163	2.617	2.733	2.881	2.627	1.826	2.252	2.358	2.761	2.478	2.521	2.351	2.824	2.197	2.801	2.5	2.761	3.51	2.558	3.326	2.53605	1173891	1361110.782
sub-011_T1w	2.311	2.702	2.473	1.816	3.05	2.559	2.289	2.429	2.362	2.072	2.427	2.073	2.257	2.589	2.452	2.408	2.446	2.496	2.254	1.646	1.993	2.414	2.512	2.278	3.111	2.182	2.471	2.084	2.535	2.312	2.283	3.323	2.343	2.932	2.3409	1020616	1028758.428
sub-012_T1w	2.244	2.668	2.525	1.919	3.481	2.784	2.328	2.622	2.302	2.271	2.602	2.097	2.404	2.702	2.598	2.21	2.527	2.627	2.359	1.686	2.015	2.375	2.562	2.204	2.703	2.191	2.574	2.183	2.684	2.449	2.736	3.039	2.708	3.177	2.43156	1214586	1443352.95
sub-013_T1w	2.664	2.705	2.627	1.911	3.681	2.652	2.55	2.742	2.575	2.184	2.757	2.118	2.597	2.873	3.245	2.634	2.664	2.455	2.423	1.535	2.178	2.501	2.713	2.347	3.073	2.242	2.804	2.178	2.993	2.603	3.059	3.92	2.66	3.024	2.54627	1270128	1582504.833
sub-014_T1w	2.396	2.78	2.439	1.826	3.401	2.646	2.28	2.674	2.251	2.132	2.651	2.09	2.581	2.666	2.432	2.358	2.524	2.326	2.367	1.613	2.087	2.489	2.458	2.291	3.047	2.273	2.627	2.069	2.732	2.346	2.521	3.398	2.62	3.033	2.40182	1039280	1127057.578
sub-015_T1w	2.55	2.531	2.59	1.785	3.552	2.79	2.537	2.922	2.362	2.241	2.77	2.157	2.74	2.887	2.852	2.602	2.625	2.755	2.526	1.635	2.25	2.669	2.63	2.453	2.749	2.303	2.759	2.285	2.761	2.64	2.608	3.383	2.547	3.285	2.57694	1263077	1346130.931
sub-016_T1w	2.498	2.9	2.686	2.025	3.152	2.709	2.393	2.754	2.281	2.2	2.763	2.263	2.844	2.958	2.892	2.497	2.558	3.034	2.348	1.819	2.293	2.59	2.67	2.438	3.134	2.379	2.872	2.204	2.854	2.569	3.021	3.846	2.616	3.09	2.57473	1383373	1755486.125
sub-017_T1w	2.542	2.177	2.373	1.949	2.965	2.56	2.313	2.624	2.258	2.142	2.47	2.153	2.301	2.81	3.366	2.31	2.523	2.694	2.331	1.83	2.09	2.481	2.5	2.263	2.355	2.167	2.661	2.129	2.823	2.566	1.888	3.525	2.553	3.042	2.41736	989331	1093827.638
sub-018_T1w	2.532	2.623	2.63	1.936	3.713	2.739	2.462	2.614	2.271	2.332	2.766	2.23	2.625	2.729	2.975	2.532	2.472	2.606	2.363	1.615	2.166	2.622	2.656	2.517	2.862	2.423	2.859	2.341	2.839	2.631	3.02	3.482	2.451	3.09	2.5559	1386220	1660045.801
sub-019_T1w	2.199	2.078	2.414	1.953	3.104	2.579	2.374	2.477	2.232	2.137	2.501	2.215	2.507	2.37	2.435	2.346	2.409	2.4	2.31	1.674	2.022	2.484	2.605	2.345	2.622	2.187	2.739	2.216	2.655	2.406	2.704	3.277	2.529	3.095	2.40095	1412637	1838209.092
sub-020_T1w	2.701	3.064	2.404	1.921	3.49	2.948	2.439	2.66	2.49	2.274	2.78	2.288	3.018	2.815	2.954	2.502	2.609	2.713	2.353	1.584	2.179	2.568	2.543	2.486	2.916	2.306	2.796	2.204	2.933	2.74	2.639	3.366	2.371	3.072	2.55711	1251219	1651958.387
sub-023_T1w	2.481	2.574	2.626	1.911	3.168	2.595	2.438	2.718	2.263	2.173	2.831	2.168	2.543	2.767	2.762	2.565	2.566	2.618	2.336	1.381	2.249	2.45	2.608	2.539	2.572	2.418	2.797	2.278	2.595	2.465	2.854	3.306	2.357	2.939	2.49697	1220747	1418056.653
sub-024_T1w	2.67	2.463	2.519	1.884	2.805	2.584	2.466	2.338	2.374	2.312	2.431	2.031	2.518	2.617	2.655	2.456	2.594	2.453	2.462	1.696	2.034	2.602	2.711	2.477	2.606	2.311	2.864	2.275	2.596	2.503	2.875	2.783	2.42	2.906	2.46024	1246577	1694824.828
sub-025_T1w	2.448	2.704	2.459	1.989	3.902	2.674	2.455	2.981	2.573	2.291	2.814	2.158	2.737	2.916	2.706	2.382	2.742	2.764	2.454	1.63	2.014	2.614	2.486	2.428	2.774	2.404	2.749	2.202	2.853	2.436	2.666	3.629	2.439	3.075	2.51169	1243978	1692470.487
