rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-004_T1w	2202.0	1872.0	8867.0	4259.0	2009.0	10097.0	16704.0	9352.0	3029.0	13954.0	9121.0	9290.0	6094.0	14301.0	2161.0	5452.0	4683.0	3068.0	4213.0	2792.0	10833.0	3198.0	13665.0	10705.0	2352.0	19859.0	24800.0	13342.0	12213.0	10853.0	1428.0	2506.0	1047.0	7823.0	1263521.0	1563487.29852
sub-005_T1w	2304.0	2050.0	7745.0	3692.0	2132.0	11885.0	16774.0	10750.0	3012.0	14079.0	8041.0	8442.0	6003.0	13686.0	2289.0	5048.0	4135.0	3018.0	4560.0	2115.0	12399.0	3402.0	15735.0	12449.0	2562.0	21036.0	29329.0	15895.0	12968.0	13364.0	974.0	2040.0	1013.0	9102.0	1342225.0	1777285.9836
sub-006_T1w	2398.0	2466.0	6378.0	3978.0	2427.0	11133.0	15521.0	9984.0	3087.0	12849.0	6860.0	7213.0	5811.0	10580.0	1770.0	3777.0	6105.0	2481.0	4110.0	2220.0	8041.0	2898.0	10909.0	11430.0	2118.0	17544.0	22748.0	13408.0	10988.0	9964.0	1059.0	2252.0	975.0	6938.0	1173591.0	1581288.08115
sub-007_T1w	1929.0	2750.0	6215.0	4451.0	1457.0	10000.0	17651.0	9586.0	3396.0	14521.0	9285.0	9381.0	6806.0	11682.0	2189.0	4100.0	4150.0	3244.0	4299.0	2980.0	9803.0	3573.0	15669.0	12314.0	2379.0	18560.0	24490.0	15655.0	16067.0	9293.0	1456.0	2272.0	955.0	8620.0	1258470.0	1648965.31132
sub-008_T1w	2777.0	2799.0	7029.0	4368.0	2092.0	11485.0	17194.0	12985.0	2685.0	14218.0	9027.0	8455.0	5951.0	14828.0	2621.0	4511.0	3755.0	3487.0	4073.0	2599.0	10094.0	4336.0	16417.0	9917.0	2154.0	18999.0	26886.0	12425.0	15793.0	10007.0	1396.0	2908.0	1485.0	9902.0	1301274.0	1584414.27413
sub-009_T1w	2649.0	2083.0	6485.0	3067.0	2841.0	10824.0	17453.0	11515.0	2906.0	13359.0	8742.0	6449.0	6221.0	13993.0	1918.0	3988.0	3780.0	3131.0	3102.0	1747.0	9878.0	3337.0	14474.0	11187.0	2386.0	16159.0	23045.0	13268.0	13565.0	14248.0	1397.0	2956.0	1028.0	7610.0	1164370.0	1221317.78462
sub-010_T1w	1813.0	2164.0	6668.0	3651.0	1941.0	8642.0	12733.0	10383.0	2505.0	13675.0	7836.0	7152.0	5333.0	12528.0	1768.0	4317.0	4029.0	3194.0	4529.0	3487.0	10089.0	3353.0	14814.0	10208.0	1978.0	14993.0	21851.0	12933.0	12485.0	10246.0	1292.0	2320.0	916.0	7577.0	1173891.0	1361110.78201
sub-011_T1w	1973.0	1664.0	6111.0	2566.0	1734.0	8284.0	11973.0	9330.0	2447.0	8976.0	6610.0	5502.0	4450.0	10311.0	1915.0	3730.0	3198.0	2025.0	3335.0	1927.0	8278.0	2887.0	11082.0	8820.0	1652.0	13059.0	19385.0	11516.0	10403.0	8860.0	745.0	2621.0	942.0	7033.0	1020616.0	1028758.4275
sub-012_T1w	1827.0	3279.0	8914.0	4114.0	2514.0	10396.0	13751.0	14063.0	2570.0	14495.0	9017.0	6922.0	6710.0	12075.0	2178.0	3839.0	4137.0	3236.0	4276.0	2739.0	9653.0	4787.0	14258.0	10569.0	3197.0	21546.0	26041.0	14179.0	13061.0	9547.0	1610.0	3045.0	1097.0	9542.0	1214586.0	1443352.95027
sub-013_T1w	2645.0	1888.0	7576.0	3707.0	4018.0	8692.0	14420.0	13954.0	2621.0	15553.0	7988.0	6431.0	6369.0	13070.0	2738.0	4932.0	4322.0	2710.0	4038.0	2312.0	11140.0	3411.0	16128.0	10782.0	2275.0	14726.0	28630.0	13239.0	13489.0	10968.0	1337.0	2801.0	1016.0	8179.0	1270128.0	1582504.83329
